="Cox Survival Model: Estimated Hazard Ratios for Race = Black"

="",="1993",="1994",="1995",="1996",="1997",="1998",="1999",="2000",="2001",="2002",="2003",="2004",="2005",="2006",="2007",="2008",="2009",="2010",="2011",="2012",="2013"

="Men: Unconditioned",="1.204***",="1.192***",="1.191***",="1.218***",="1.222***",="1.229***",="1.191***",="1.232***",="1.234***",="1.236***",="1.219***",="1.199***",="1.187***",="1.237***",="1.192***",="1.140***",="1.151***",="1.147***",="1.109***",="1.090***",="1.043"
="",="(0.0164)",="(0.0159)",="(0.0161)",="(0.0163)",="(0.0165)",="(0.0167)",="(0.0162)",="(0.0165)",="(0.0165)",="(0.0165)",="(0.0161)",="(0.0165)",="(0.0171)",="(0.0188)",="(0.0195)",="(0.0196)",="(0.0210)",="(0.0223)",="(0.0230)",="(0.0257)",="(0.0355)"



="Men: 5-year age group controls",="1.210***",="1.187***",="1.189***",="1.227***",="1.255***",="1.275***",="1.266***",="1.280***",="1.295***",="1.319***",="1.308***",="1.311***",="1.298***",="1.371***",="1.324***",="1.274***",="1.306***",="1.302***",="1.273***",="1.222***",="1.181***"
="",="(0.0165)",="(0.0158)",="(0.0160)",="(0.0164)",="(0.0169)",="(0.0174)",="(0.0173)",="(0.0172)",="(0.0173)",="(0.0176)",="(0.0173)",="(0.0181)",="(0.0187)",="(0.0209)",="(0.0217)",="(0.0219)",="(0.0239)",="(0.0253)",="(0.0265)",="(0.0289)",="(0.0402)"



="Men: Quadratic age control",="1.211***",="1.194***",="1.192***",="1.232***",="1.261***",="1.280***",="1.271***",="1.286***",="1.299***",="1.327***",="1.310***",="1.316***",="1.306***",="1.374***",="1.328***",="1.275***",="1.307***",="1.304***",="1.277***",="1.224***",="1.183***"
="",="(0.0165)",="(0.0159)",="(0.0161)",="(0.0165)",="(0.0170)",="(0.0174)",="(0.0173)",="(0.0173)",="(0.0173)",="(0.0177)",="(0.0173)",="(0.0181)",="(0.0188)",="(0.0209)",="(0.0218)",="(0.0220)",="(0.0239)",="(0.0254)",="(0.0266)",="(0.0289)",="(0.0403)"



="Men: Fractional poly control",="1.211***",="1.194***",="1.193***",="1.232***",="1.262***",="1.281***",="1.271***",="1.287***",="1.300***",="1.327***",="1.311***",="1.316***",="1.306***",="1.373***",="1.328***",="1.275***",="1.308***",="1.305***",="1.278***",="1.225***",="1.183***"
="",="(0.0165)",="(0.0159)",="(0.0161)",="(0.0165)",="(0.0170)",="(0.0174)",="(0.0173)",="(0.0173)",="(0.0173)",="(0.0177)",="(0.0174)",="(0.0181)",="(0.0188)",="(0.0209)",="(0.0218)",="(0.0220)",="(0.0240)",="(0.0254)",="(0.0266)",="(0.0289)",="(0.0403)"



="Women: Unconditioned",="1.071***",="1.064***",="1.083***",="1.108***",="1.092***",="1.109***",="1.117***",="1.121***",="1.120***",="1.106***",="1.098***",="1.095***",="1.104***",="1.095***",="1.119***",="1.093***",="1.099***",="1.086***",="1.065***",="1.075***",="1.042"
="",="(0.0126)",="(0.0123)",="(0.0123)",="(0.0125)",="(0.0124)",="(0.0125)",="(0.0122)",="(0.0122)",="(0.0121)",="(0.0119)",="(0.0119)",="(0.0124)",="(0.0131)",="(0.0137)",="(0.0149)",="(0.0153)",="(0.0164)",="(0.0174)",="(0.0183)",="(0.0207)",="(0.0283)"



="Women: 5-year age group controls",="1.128***",="1.113***",="1.136***",="1.165***",="1.163***",="1.170***",="1.191***",="1.188***",="1.193***",="1.218***",="1.182***",="1.180***",="1.212***",="1.197***",="1.220***",="1.208***",="1.202***",="1.210***",="1.179***",="1.192***",="1.171***"
="",="(0.0133)",="(0.0128)",="(0.0129)",="(0.0132)",="(0.0132)",="(0.0132)",="(0.0130)",="(0.0129)",="(0.0128)",="(0.0131)",="(0.0128)",="(0.0134)",="(0.0144)",="(0.0150)",="(0.0162)",="(0.0169)",="(0.0180)",="(0.0194)",="(0.0203)",="(0.0230)",="(0.0319)"



="Women: Quadratic age control",="1.133***",="1.116***",="1.138***",="1.166***",="1.168***",="1.173***",="1.196***",="1.192***",="1.194***",="1.216***",="1.179***",="1.178***",="1.213***",="1.195***",="1.214***",="1.202***",="1.197***",="1.201***",="1.175***",="1.189***",="1.167***"
="",="(0.0133)",="(0.0129)",="(0.0130)",="(0.0132)",="(0.0133)",="(0.0133)",="(0.0131)",="(0.0130)",="(0.0129)",="(0.0131)",="(0.0128)",="(0.0134)",="(0.0144)",="(0.0150)",="(0.0162)",="(0.0168)",="(0.0179)",="(0.0193)",="(0.0202)",="(0.0230)",="(0.0318)"



="Women: Fractional poly control",="1.133***",="1.117***",="1.139***",="1.165***",="1.167***",="1.175***",="1.197***",="1.191***",="1.194***",="1.216***",="1.179***",="1.179***",="1.214***",="1.196***",="1.215***",="1.204***",="1.199***",="1.203***",="1.176***",="1.190***",="1.168***"
="",="(0.0133)",="(0.0129)",="(0.0130)",="(0.0132)",="(0.0133)",="(0.0133)",="(0.0131)",="(0.0130)",="(0.0129)",="(0.0131)",="(0.0128)",="(0.0134)",="(0.0144)",="(0.0150)",="(0.0162)",="(0.0168)",="(0.0179)",="(0.0193)",="(0.0203)",="(0.0230)",="(0.0318)"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
